Id2,Geography,Carto_CT,Total,Not Hispanic or Latino,White alone,Black alone,Amerindian  alone,Asian alone,Other alone,Hispanic or Latino,White Hispanic,Black Hispanic
36005019300,"Census Tract 193, Bronx County, New York",2019300,5853,2131,16,2070,31,14,2727,3722,602,545
36005019400,"Census Tract 194, Bronx County, New York",2019400,2291,835,417,287,13,54,1357,1456,307,34
36005019500,"Census Tract 195, Bronx County, New York",2019500,7352,1968,63,1783,0,30,3974,5384,1175,666
36005019700,"Census Tract 197, Bronx County, New York",2019700,7489,2280,46,1436,68,589,4536,5209,695,292
36005019900,"Census Tract 199, Bronx County, New York",2019900,8763,2769,173,2487,0,0,4864,5994,1343,428
36005020000,"Census Tract 200, Bronx County, New York",2020000,4671,1788,96,235,57,1439,2288,2883,503,187
36005020100,"Census Tract 201, Bronx County, New York",2020100,4909,1585,199,1359,0,27,2713,3324,426,277
36005020200,"Census Tract 202, Bronx County, New York",2020200,2257,895,191,354,0,300,1051,1362,356,87
36005020400,"Census Tract 204, Bronx County, New York",2020400,3264,931,278,255,0,355,1967,2333,483,204
36005020501,"Census Tract 205.01, Bronx County, New York",2020501,7400,2148,14,2117,150,17,4643,5252,526,299
36005020502,"Census Tract 205.02, Bronx County, New York",2020502,2034,697,20,668,0,5,1223,1337,126,50
36005020601,"Census Tract 206.01, Bronx County, New York",2020601,2816,1674,113,310,0,890,1345,1142,394,48
36005020900,"Census Tract 209, Bronx County, New York",2020900,4784,1882,117,1733,0,0,2630,2902,322,93
36005021001,"Census Tract 210.01, Bronx County, New York",2021001,9511,5399,197,4321,69,651,3360,4112,953,517
36005021002,"Census Tract 210.02, Bronx County, New York",2021002,7201,5110,81,3743,0,1199,1256,2091,907,323
36005021100,"Census Tract 211, Bronx County, New York",2021100,5157,1973,11,1934,20,13,2959,3184,306,112
36005021200,"Census Tract 212, Bronx County, New York",2021200,5202,3342,57,1976,35,1179,1352,1860,760,118
36005021301,"Census Tract 213.01, Bronx County, New York",2021301,1160,214,65,144,0,5,805,946,118,38
36005021302,"Census Tract 213.02, Bronx County, New York",2021302,6337,2736,41,2624,0,71,2604,3601,476,618
36005021501,"Census Tract 215.01, Bronx County, New York",2021501,4887,1264,12,1221,8,34,3041,3623,332,390
36005021502,"Census Tract 215.02, Bronx County, New York",2021502,6687,1637,29,1568,10,0,4461,5050,363,301
36005021601,"Census Tract 216.01, Bronx County, New York",2021601,4428,1796,391,995,39,170,2077,2632,653,252
36005021602,"Census Tract 216.02, Bronx County, New York",2021602,5617,3382,47,1692,57,1330,1896,2235,989,150
36005021700,"Census Tract 217, Bronx County, New York",2021700,5438,2601,58,2483,32,28,2396,2837,271,259
36005021800,"Census Tract 218, Bronx County, New York",2021800,6765,2313,189,1946,0,159,3079,4452,979,526
36005021900,"Census Tract 219, Bronx County, New York",2021900,1118,54,18,26,6,4,945,1064,115,38
36005022000,"Census Tract 220, Bronx County, New York",2022000,2410,779,43,564,0,162,1531,1631,133,24
